,rooms
0,-0.8816315549989284
1,-0.4498120178565962
2,0.4138270564280683
3,-0.8816315549989284
4,-1.745270629283593
5,0.4138270564280683
6,0.4138270564280683
7,0.8456465935704005
8,0.4138270564280683
9,-0.4498120178565962
10,2.1411052049973973
11,-0.4498120178565962
12,-1.3134510921412608
13,-0.8816315549989284
14,0.4138270564280683
15,-1.3134510921412608
16,-0.017992480714263973
17,2.1411052049973973
18,-0.4498120178565962
19,-0.4498120178565962
20,-0.017992480714263973
21,-1.3134510921412608
22,-0.017992480714263973
23,-0.4498120178565962
24,-1.3134510921412608
25,1.2774661307127329
26,-0.4498120178565962
27,-0.8816315549989284
28,1.2774661307127329
29,-0.017992480714263973
30,-1.3134510921412608
31,-0.017992480714263973
32,0.4138270564280683
33,-0.8816315549989284
34,-0.4498120178565962
35,0.4138270564280683
36,-0.017992480714263973
37,0.8456465935704005
38,-0.4498120178565962
39,-0.017992480714263973
40,-0.4498120178565962
41,0.4138270564280683
42,-0.8816315549989284
43,-0.4498120178565962
44,1.2774661307127329
45,0.8456465935704005
46,-1.745270629283593
47,-0.017992480714263973
48,0.4138270564280683
49,-1.745270629283593
50,-0.4498120178565962
51,-0.8816315549989284
52,-0.4498120178565962
53,-0.8816315549989284
54,-0.8816315549989284
55,-0.8816315549989284
56,-0.8816315549989284
57,-0.017992480714263973
58,-0.4498120178565962
59,-0.8816315549989284
60,-1.745270629283593
61,0.4138270564280683
62,-0.017992480714263973
63,-0.8816315549989284
64,-0.017992480714263973
65,0.8456465935704005
66,-0.8816315549989284
67,1.709285667855065
68,-0.017992480714263973
69,-0.017992480714263973
70,-0.017992480714263973
71,-0.4498120178565962
72,1.2774661307127329
73,-0.8816315549989284
74,-0.017992480714263973
75,0.4138270564280683
76,-0.4498120178565962
77,-0.017992480714263973
78,1.2774661307127329
79,0.4138270564280683
80,-0.8816315549989284
81,-0.4498120178565962
82,-0.4498120178565962
83,0.4138270564280683
84,-0.8816315549989284
85,-1.745270629283593
86,0.8456465935704005
87,0.4138270564280683
88,-0.4498120178565962
89,0.8456465935704005
90,-0.4498120178565962
91,-0.017992480714263973
92,-0.4498120178565962
93,-0.8816315549989284
94,-0.4498120178565962
95,-0.017992480714263973
96,0.4138270564280683
97,-0.017992480714263973
98,-1.745270629283593
99,-0.8816315549989284
100,-0.4498120178565962
101,-1.3134510921412608
102,-1.3134510921412608
103,-0.4498120178565962
104,0.8456465935704005
105,-0.4498120178565962
106,0.4138270564280683
107,0.4138270564280683
108,-0.4498120178565962
109,-0.8816315549989284
110,-0.8816315549989284
111,-0.4498120178565962
112,-0.8816315549989284
113,-0.8816315549989284
114,0.4138270564280683
115,0.8456465935704005
116,0.4138270564280683
117,-0.8816315549989284
118,0.4138270564280683
119,-0.8816315549989284
120,-0.017992480714263973
121,-1.3134510921412608
122,-0.4498120178565962
123,-0.017992480714263973
124,-0.017992480714263973
125,-0.017992480714263973
126,-0.017992480714263973
127,0.4138270564280683
128,-0.4498120178565962
129,-1.745270629283593
130,-0.4498120178565962
131,-0.8816315549989284
132,2.1411052049973973
133,0.8456465935704005
134,-0.017992480714263973
135,1.2774661307127329
136,-0.4498120178565962
137,-1.3134510921412608
138,-0.8816315549989284
139,-0.8816315549989284
140,2.1411052049973973
141,-0.017992480714263973
142,0.8456465935704005
143,-0.017992480714263973
144,-0.4498120178565962
145,1.2774661307127329
146,-0.4498120178565962
147,-1.745270629283593
148,-0.8816315549989284
149,-0.8816315549989284
150,0.4138270564280683
151,-0.4498120178565962
152,-0.017992480714263973
153,-1.745270629283593
154,-0.8816315549989284
155,-0.017992480714263973
156,-1.3134510921412608
157,-0.4498120178565962
158,-0.017992480714263973
159,-0.8816315549989284
160,-0.8816315549989284
161,1.709285667855065
162,-0.4498120178565962
163,2.1411052049973973
164,2.1411052049973973
165,-0.8816315549989284
166,1.709285667855065
167,-0.8816315549989284
168,-0.017992480714263973
169,0.4138270564280683
170,1.2774661307127329
171,-0.8816315549989284
172,1.2774661307127329
173,-0.017992480714263973
174,1.2774661307127329
175,0.8456465935704005
176,-1.3134510921412608
177,1.2774661307127329
178,0.4138270564280683
179,-0.017992480714263973
180,-0.017992480714263973
181,-1.3134510921412608
182,-0.017992480714263973
183,1.2774661307127329
184,-0.8816315549989284
185,-0.4498120178565962
186,1.709285667855065
187,0.4138270564280683
188,-0.4498120178565962
189,-0.8816315549989284
190,0.8456465935704005
191,0.8456465935704005
192,0.8456465935704005
193,-0.4498120178565962
194,-1.745270629283593
195,-1.3134510921412608
196,-0.4498120178565962
197,0.4138270564280683
198,-0.4498120178565962
199,-0.8816315549989284
200,0.8456465935704005
201,-0.4498120178565962
202,-0.8816315549989284
